latitude,longitude,groundspeed,GPSAltitude,accelerationX,accelerationY,accelerationZ,gyroX,gyroY,gyroZ,temperature,altitude,pressure(hPa)
0.000000,0.000000,0.000000,0.000000,-0.210690,-9.854534,-0.435745,-0.001066,-0.016787,-0.033841,28.629999,178.472519,998.271973
0.000000,0.000000,0.000000,0.000000,-0.258574,-9.859323,-0.450110,0.003198,-0.014655,-0.035706,28.629999,178.472519,998.271973
0.000000,0.000000,0.000000,0.000000,-0.201113,-9.840169,-0.462081,-0.007194,-0.013590,-0.039969,28.629999,178.472519,998.271973
0.000000,0.000000,0.000000,0.000000,-0.210690,-9.823410,-0.445322,-0.001865,-0.014389,-0.035173,28.629999,178.472519,998.271973
0.000000,0.000000,0.000000,0.000000,-0.217872,-9.852140,-0.404620,0.006662,-0.013057,-0.041302,28.629999,178.415222,998.278748
0.000000,0.000000,0.000000,0.000000,-0.272939,-9.849746,-0.423774,-0.006928,-0.015988,-0.036772,28.629999,178.415222,998.278748
0.000000,0.000000,0.000000,0.000000,-0.325611,-9.840169,-0.469264,-0.003997,-0.017320,-0.033574,28.629999,178.415222,998.278748
0.000000,0.000000,0.000000,0.000000,-0.162806,-9.852140,-0.397437,0.003730,-0.017320,-0.030110,28.629999,178.415222,998.278748
0.000000,0.000000,0.000000,0.000000,-0.146046,-9.854534,-0.414197,-0.007194,-0.019718,-0.027979,28.629999,178.369186,998.284241
0.000000,0.000000,0.000000,0.000000,-0.138864,-9.842564,-0.533907,0.000266,-0.014389,-0.040769,28.629999,178.369186,998.284241
0.000000,0.000000,0.000000,0.000000,-0.201113,-9.847352,-0.445322,0.001066,-0.012257,-0.039436,28.629999,178.369186,998.284241
0.000000,0.000000,0.000000,0.000000,-0.349553,-9.844957,-0.438139,-0.002931,-0.014655,-0.038637,28.629999,178.369186,998.284241
0.000000,0.000000,0.000000,0.000000,-0.325611,-9.847352,-0.486023,-0.001332,-0.016254,-0.034907,28.629999,178.323151,998.289673
0.000000,0.000000,0.000000,0.000000,-0.318429,-9.832987,-0.493206,-0.002398,-0.017587,-0.029577,28.629999,178.323151,998.289673
0.000000,0.000000,0.000000,0.000000,-0.253785,-9.835381,-0.433351,-0.007461,-0.018119,-0.031176,28.629999,178.323151,998.289673
0.000000,0.000000,0.000000,0.000000,-0.148441,-9.837775,-0.418985,-0.003730,-0.016254,-0.032775,28.629999,178.323151,998.289673
0.000000,0.000000,0.000000,0.000000,-0.153229,-9.844957,-0.409408,0.003198,-0.017853,-0.032508,28.639999,178.293991,998.293152
0.000000,0.000000,0.000000,0.000000,-0.088585,-9.830592,-0.476446,-0.002931,-0.008260,-0.039703,28.639999,178.293991,998.293152
0.000000,0.000000,0.000000,0.000000,-0.191536,-9.835381,-0.620098,0.005063,0.001865,-0.092196,28.639999,178.293991,998.293152
0.000000,0.000000,0.000000,0.000000,-0.550666,-9.866506,-0.268151,-0.000799,-0.011458,-0.044766,28.639999,178.293991,998.293152
0.000000,0.000000,0.000000,0.000000,-0.155623,-9.842564,-0.162806,-0.023182,-0.016787,0.005596,28.639999,178.262802,998.296875
0.000000,0.000000,0.000000,0.000000,-0.653617,-9.878476,0.366313,-0.024781,-0.040236,-0.013323,28.639999,178.262802,998.296875
0.000000,0.000000,0.000000,0.000000,-0.246603,-9.847352,-0.423774,-0.009593,-0.047164,-0.016254,28.639999,178.262802,998.296875
0.000000,0.000000,0.000000,0.000000,-0.098162,-9.789890,-1.007959,-0.097525,-0.009326,-0.047697,28.639999,178.262802,998.296875
0.000000,0.000000,0.000000,0.000000,-0.007183,-10.031705,0.000000,-0.040236,0.005596,-0.043700,28.639999,178.213684,998.302673
0.000000,0.000000,0.000000,0.000000,-0.342371,-9.610326,-1.479617,-0.002132,-0.146021,-0.024515,28.639999,178.213684,998.302673
0.000000,0.000000,0.000000,0.000000,-0.486023,-11.317391,-0.861913,0.001865,0.142291,-0.049029,28.639999,178.213684,998.302673
0.000000,0.000000,0.000000,0.000000,0.129287,-9.667787,0.107739,0.002132,-0.022649,-0.064750,28.639999,178.213684,998.302673
0.000000,0.000000,0.000000,0.000000,-0.452504,-10.690110,-0.785298,-0.012790,-0.117510,-0.005063,28.650000,178.184540,998.306152
0.000000,0.000000,0.000000,0.000000,0.239420,-8.671799,-0.557849,-0.027979,0.006928,0.007194,28.650000,178.184540,998.306152
0.000000,0.000000,0.000000,0.000000,-0.493206,-9.753978,-0.368707,0.023449,-0.105786,-0.042900,28.650000,178.184540,998.306152
0.000000,0.000000,0.000000,0.000000,-0.184354,-9.641450,-1.271321,0.027712,0.062619,-0.085002,28.650000,178.184540,998.306152
0.000000,0.000000,0.000000,0.000000,-0.193930,-8.487445,-0.962469,-0.030643,0.012790,-0.047697,28.650000,178.164078,998.308594
